------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
NREL 5.0 MW offshore baseline aerodynamic blade input properties; note that we need to add the aerodynamic center to this file
======  Blade Properties =================================================================
80      19   NumBlNds           - Number of blade nodes used in the analysis (-)
  BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
   (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
0    0    0    0    13.308    3.542    1
0.7784797468    -0.0004644092501    -0.001963364883    0    13.308    3.542    1
1.556959494    -0.002487612472    -0.01051678214    0    13.308    3.56371769    1
2.335439241    -0.009330097859    -0.03944449035    0    13.308    3.652579389    1
3.113918987    -0.01617258325    -0.06837219855    0    13.308    3.741441087    1
3.892398734    -0.02301506863    -0.09729990675    0    13.308    3.830302786    1
4.670878481    -0.03207254341    -0.1355918383    0    13.308    3.919373345    1
5.449358228    -0.04193550414    -0.177289091    0    13.308    4.008519857    1
6.227837975    -0.05179846487    -0.2189863437    0    13.308    4.097666369    2
7.006317722    -0.06198217725    -0.2620396259    0    13.308    4.186749147    2
7.784797468    -0.07328833501    -0.3098382277    0    13.308    4.275608895    2
8.563277215    -0.08459449278    -0.3576368295    0    13.308    4.364468643    3
9.341756962    -0.09590065055    -0.4054354313    0    13.308    4.453328391    3
10.12023671    -0.1072068083    -0.453234033    0    13.308    4.54218814    3
10.89871646    -0.1101423512    -0.4783948747    0    13.01876739    4.572031235    3
11.6771962    -0.1114035131    -0.4990274665    0    12.67167935    4.59006918    3
12.45567595    -0.112664675    -0.5196600583    0    12.32459131    4.608107126    4
13.2341557    -0.1139258368    -0.54029265    0    11.97750327    4.626145071    4
14.01263544    -0.1151869987    -0.5609252418    0    11.63041522    4.644183016    4
14.79111519    -0.1138596793    -0.5675687282    0    11.3381976    4.63112772    4
15.56959494    -0.1105526915    -0.5635133576    0    11.08794485    4.594292337    4
16.34807468    -0.1072457036    -0.559457987    0    10.83769209    4.557456954    4
17.12655443    -0.1039387158    -0.5554026163    0    10.58743933    4.520621571    4
17.90503418    -0.1006317279    -0.5513472457    0    10.33718657    4.483786188    4
18.68351392    -0.09745500036    -0.5471449322    0    10.09644524    4.446096485    4
19.46199367    -0.09458226921    -0.5425996889    0    9.877901289    4.406413006    4
20.24047342    -0.09170953806    -0.5380544457    0    9.659357341    4.366729526    4
21.01895316    -0.0888368069    -0.5335092025    0    9.440813392    4.327046046    5
21.79743291    -0.08596407575    -0.5289639592    0    9.222269444    4.287362566    5
22.57591266    -0.08309056095    -0.5243910024    0    9.003314685    4.247470521    5
23.35439241    -0.08019428686    -0.519013177    0    8.772428984    4.201521229    5
24.13287215    -0.07729801277    -0.5136353516    0    8.541543284    4.155571936    5
24.9113519    -0.07440173868    -0.5082575262    0    8.310657583    4.109622644    6
25.68983165    -0.07150546459    -0.5028797007    0    8.079771883    4.063673352    6
26.46831139    -0.06860919051    -0.4975018753    0    7.848886182    4.017724059    6
27.24679114    -0.06581679621    -0.491763655    0    7.612905923    3.969300267    6
28.02527089    -0.06305602735    -0.4859157151    0    7.375374664    3.920123132    6
28.80375063    -0.06029525848    -0.4800677752    0    7.137843404    3.870945997    6
29.58223038    -0.05753448962    -0.4742198354    0    6.900312145    3.821768861    6
30.36071013    -0.05477372075    -0.4683718955    0    6.662780886    3.772591726    6
31.13918987    -0.05220718364    -0.4626366157    0    6.431704483    3.724648608    6
31.91766962    -0.04983492819    -0.4570140248    0    6.207084595    3.677939823    6
32.69614937    -0.04746267275    -0.451391434    0    5.982464707    3.631231038    6
33.47462911    -0.0450904173    -0.4457688431    0    5.757844819    3.584522253    7
34.25310886    -0.04271816186    -0.4401462523    0    5.533224931    3.537813468    7
35.03158861    -0.04040426155    -0.4345099493    0    5.309047942    3.491104684    7
35.81006835    -0.03828217759    -0.4288285737    0    5.086326785    3.444395899    7
36.5885481    -0.03616009364    -0.4231471981    0    4.863605629    3.397687114    7
37.36702785    -0.03403800968    -0.4174658225    0    4.640884472    3.350978329    7
38.14550759    -0.03191592573    -0.411784447    0    4.418163315    3.304269544    7
38.92398734    -0.02979384177    -0.4061030714    0    4.195442158    3.257560759    7
39.70246709    -0.02803229508    -0.4003664978    0    3.992909143    3.210851975    7
40.48094684    -0.02628321211    -0.394628016    0    3.791074028    3.16414319    7
41.25942658    -0.02453412913    -0.3888895342    0    3.589238913    3.117434405    8
42.03790633    -0.02278504615    -0.3831510523    0    3.387403798    3.07072562    8
42.81638608    -0.02103596317    -0.3774125705    0    3.185568683    3.024016835    8
43.59486582    -0.01964314058    -0.3716407669    0    3.017887353    2.977308051    8
44.37334557    -0.01840306639    -0.3658546763    0    2.864849627    2.930599266    8
45.15182532    -0.0171629922    -0.3600685857    0    2.711811901    2.883890481    8
45.93030506    -0.01592291802    -0.3542824951    0    2.558774175    2.837181696    8
46.70878481    -0.01468284383    -0.3484964045    0    2.40573645    2.790472911    8
47.48726456    -0.01351952026    -0.3427016585    0    2.253768099    2.743764127    8
48.2657443    -0.01245660313    -0.3368955895    0    2.103198724    2.697055342    8
49.04422405    -0.01139368601    -0.3310895205    0    1.952629348    2.650346557    8
49.8227038    -0.01033076888    -0.3252834514    0    1.802059973    2.603637772    8
50.60118354    -0.009267851753    -0.3194773824    0    1.651490597    2.556928987    8
51.37966329    -0.008229138895    -0.3136688964    0    1.500839242    2.510220278    8
52.15814304    -0.007311540714    -0.3078483163    0    1.34977767    2.463511949    8
52.93662278    -0.006393942533    -0.3020277362    0    1.198716098    2.41680362    8
53.71510253    -0.005476344352    -0.2962071562    0    1.047654527    2.370095291    8
54.49358228    -0.004558746171    -0.2903865761    0    0.896592955    2.323386962    8
55.27206203    -0.003763159903    -0.2828138607    0    0.75381203    2.262724809    8
56.05054177    -0.003002465853    -0.2747400804    0    0.6133991535    2.198072227    8
56.82902152    -0.002241771804    -0.2666663002    0    0.4729862771    2.133419645    8
57.60750127    -0.001580920007    -0.2544154518    0    0.3499581699    2.035364013    8
58.38598101    -0.001194802814    -0.2306706204    0    0.2747675018    1.84539365    8
59.16446076    -0.0008086856202    -0.2069257891    0    0.1995768337    1.655423288    8
59.94294051    -0.0004225684266    -0.1831809578    0    0.1243861656    1.465452926    8
60.72142025    -0.00032815226    -0.1773747    0    0.106    1.419    8
61.4999    -0.00032815226    -0.1773747    0    0.106    1.419    8
