------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
NREL 5.0 MW offshore baseline aerodynamic blade input properties; note that we need to add the aerodynamic center to this file
======  Blade Properties =================================================================
200      19   NumBlNds           - Number of blade nodes used in the analysis (-)
  BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
   (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
0    0    0    0    13.308    3.542    1
0.3090447236    -0.0001843634711    -0.0007794262599    0    13.308    3.542    1
0.6180894472    -0.0003687269423    -0.00155885252    0    13.308    3.542    1
0.9271341709    -0.0005530904134    -0.00233827878    0    13.308    3.542    1
1.236178894    -0.0007374538845    -0.00311770504    0    13.308    3.542    1
1.545223618    -0.002384459426    -0.01008068604    0    13.308    3.562378066    1
1.854268342    -0.005100822971    -0.0215645501    0    13.308    3.597654821    1
2.163313065    -0.007817186517    -0.03304841416    0    13.308    3.632931576    1
2.472357789    -0.01053355006    -0.04453227822    0    13.308    3.668208331    1
2.781402513    -0.01324991361    -0.05601614228    0    13.308    3.703485085    1
3.090447236    -0.01596627715    -0.06750000634    0    13.308    3.73876184    1
3.39949196    -0.0186826407    -0.0789838704    0    13.308    3.774038595    1
3.708536683    -0.02139900425    -0.09046773446    0    13.308    3.80931535    1
4.017581407    -0.02411536779    -0.1019515985    0    13.308    3.844592104    1
4.326626131    -0.02771103313    -0.1171528521    0    13.308    3.879951772    1
4.635670854    -0.03162647985    -0.1337060329    0    13.308    3.915341593    1
4.944715578    -0.03554192658    -0.1502592136    0    13.308    3.950731415    1
5.253760302    -0.0394573733    -0.1668123943    0    13.308    3.986121236    1
5.562805025    -0.04337282002    -0.183365575    0    13.308    4.021511057    2
5.871849749    -0.04728826674    -0.1999187558    0    13.308    4.056900879    2
6.180894472    -0.05120371346    -0.2164719365    0    13.308    4.0922907    2
6.489939196    -0.05511916019    -0.2330251172    0    13.308    4.127680521    2
6.79898392    -0.05903460691    -0.249578298    0    13.308    4.163070342    2
7.108028643    -0.06345936369    -0.2682846694    0    13.308    4.198358964    2
7.417073367    -0.06794773788    -0.2872599937    0    13.308    4.233634944    2
7.72611809    -0.07243611207    -0.306235318    0    13.308    4.268910924    2
8.035162814    -0.07692448626    -0.3252106424    0    13.308    4.304186905    2
8.344207538    -0.08141286044    -0.3441859667    0    13.308    4.339462885    2
8.653252261    -0.08590123463    -0.363161291    0    13.308    4.374738866    3
8.962296985    -0.09038960882    -0.3821366153    0    13.308    4.410014846    3
9.271341709    -0.09487798301    -0.4011119396    0    13.308    4.445290826    3
9.580386432    -0.0993663572    -0.420087264    0    13.308    4.480566807    3
9.889431156    -0.1038547314    -0.4390625883    0    13.308    4.515842787    3
10.19847588    -0.1083431056    -0.4580379126    0    13.308    4.551118768    3
10.5075206    -0.1095086015    -0.4680267382    0    13.1931835    4.562966941    3
10.81656533    -0.1100092638    -0.4762175661    0    13.05539478    4.570127733    3
11.12561005    -0.110509926    -0.484408394    0    12.91760606    4.577288526    3
11.43465477    -0.1110105883    -0.4925992218    0    12.77981733    4.584449318    3
11.7436995    -0.1115112505    -0.5007900497    0    12.64202861    4.59161011    3
12.05274422    -0.1120119128    -0.5089808776    0    12.50423989    4.598770903    3
12.36178894    -0.112512575    -0.5171717055    0    12.36645117    4.605931695    4
12.67083367    -0.1130132373    -0.5253625334    0    12.22866245    4.613092487    4
12.97987839    -0.1135138996    -0.5335533613    0    12.09087373    4.62025328    4
13.28892312    -0.1140145618    -0.5417441892    0    11.95308501    4.627414072    4
13.59796784    -0.1145152241    -0.5499350171    0    11.81529629    4.634574865    4
13.90701256    -0.1150158863    -0.5581258449    0    11.67750757    4.641735657    4
14.21605729    -0.1155165486    -0.5663166728    0    11.53971885    4.648896449    4
14.52510201    -0.1149897053    -0.568954483    0    11.42371111    4.643714685    4
14.83414673    -0.113676881    -0.567344562    0    11.32436454    4.629091594    4
15.14319146    -0.1123640567    -0.565734641    0    11.22501797    4.614468502    4
15.45223618    -0.1110512324    -0.56412472    0    11.12567139    4.59984541    4
15.7612809    -0.109738408    -0.562514799    0    11.02632482    4.585222318    4
16.07032563    -0.1084255837    -0.560904878    0    10.92697825    4.570599226    4
16.37937035    -0.1071127594    -0.559294957    0    10.82763168    4.555976135    4
16.68841508    -0.1057999351    -0.557685036    0    10.72828511    4.541353043    4
16.9974598    -0.1044871108    -0.556075115    0    10.62893853    4.526729951    4
17.30650452    -0.1031742864    -0.554465194    0    10.52959196    4.512106859    4
17.61554925    -0.1018614621    -0.552855273    0    10.43024539    4.497483767    4
17.92459397    -0.1005486378    -0.551245352    0    10.33089882    4.482860676    4
18.23363869    -0.09923581347    -0.549635431    0    10.23155224    4.468237584    4
18.54268342    -0.09797469042    -0.5479671872    0    10.13598083    4.453275406    4
18.85172814    -0.09683425946    -0.5461627942    0    10.04922217    4.437521663    4
19.16077286    -0.0956938285    -0.5443584012    0    9.96246352    4.42176792    4
19.46981759    -0.09455339754    -0.5425540081    0    9.875704867    4.406014177    4
19.77886231    -0.09341296658    -0.5407496151    0    9.788946214    4.390260433    4
20.08790704    -0.09227253562    -0.538945222    0    9.702187562    4.37450669    4
20.39695176    -0.09113210466    -0.537140829    0    9.615428909    4.358752947    4
20.70599648    -0.0899916737    -0.5353364359    0    9.528670256    4.342999204    5
21.01504121    -0.08885124274    -0.5335320429    0    9.441911603    4.32724546    5
21.32408593    -0.08771081178    -0.5317276498    0    9.35515295    4.311491717    5
21.63313065    -0.08657038082    -0.5299232568    0    9.268394297    4.295737974    5
21.94217538    -0.08542994986    -0.5281188637    0    9.181635644    4.279984231    5
22.2512201    -0.0842895189    -0.5263144707    0    9.094876991    4.264230488    5
22.56026482    -0.08314877751    -0.5244990994    0    9.007955603    4.248394125    5
22.86930955    -0.08199900036    -0.5223641838    0    8.916297461    4.230152949    5
23.17835427    -0.08084922321    -0.5202292682    0    8.824639319    4.211911772    5
23.48739899    -0.07969944606    -0.5180943526    0    8.732981176    4.193670596    5
23.79644372    -0.07854966891    -0.5159594369    0    8.641323034    4.17542942    5
24.10548844    -0.07739989176    -0.5138245213    0    8.549664891    4.157188243    5
24.41453317    -0.07625011461    -0.5116896057    0    8.458006749    4.138947067    5
24.72357789    -0.07510033746    -0.5095546901    0    8.366348606    4.12070589    6
25.03262261    -0.07395056031    -0.5074197745    0    8.274690464    4.102464714    6
25.34166734    -0.07280078316    -0.5052848588    0    8.183032322    4.084223538    6
25.65071206    -0.07165100601    -0.5031499432    0    8.091374179    4.065982361    6
25.95975678    -0.07050122885    -0.5010150276    0    7.999716037    4.047741185    6
26.26880151    -0.0693514517    -0.498880112    0    7.908057894    4.029500009    6
26.57784623    -0.06820167455    -0.4967451963    0    7.816399752    4.011258832    6
26.88689095    -0.06709313157    -0.4944672251    0    7.72271937    3.992035425    6
27.19593568    -0.06599714795    -0.4921456812    0    7.628423041    3.972512844    6
27.5049804    -0.06490116433    -0.4898241372    0    7.534126711    3.952990262    6
27.81402513    -0.06380518071    -0.4875025933    0    7.439830382    3.933467681    6
28.12306985    -0.06270919709    -0.4851810493    0    7.345534053    3.9139451    6
28.43211457    -0.06161321347    -0.4828595053    0    7.251237724    3.894422518    6
28.7411593    -0.06051722985    -0.4805379614    0    7.156941395    3.874899937    6
29.05020402    -0.05942124623    -0.4782164174    0    7.062645066    3.855377356    6
29.35924874    -0.05832526261    -0.4758948734    0    6.968348737    3.835854774    6
29.66829347    -0.05722927899    -0.4735733295    0    6.874052408    3.816332193    6
29.97733819    -0.05613329537    -0.4712517855    0    6.779756079    3.796809612    6
30.28638291    -0.05503731175    -0.4689302415    0    6.68545975    3.777287031    6
30.59542764    -0.05394132813    -0.4666086976    0    6.591163421    3.757764449    6
30.90447236    -0.05292243654    -0.4643318692    0    6.499429072    3.738731658    6
31.21351709    -0.05198068689    -0.4620997854    0    6.410258363    3.720188975    6
31.52256181    -0.05103893724    -0.4598677016    0    6.321087654    3.701646291    6
31.83160653    -0.05009718759    -0.4576356178    0    6.231916944    3.683103608    6
32.14065126    -0.04915543794    -0.455403534    0    6.142746235    3.664560925    6
32.44969598    -0.04821368829    -0.4531714502    0    6.053575526    3.646018241    6
32.7587407    -0.04727193864    -0.4509393664    0    5.964404817    3.627475558    6
33.06778543    -0.04633018899    -0.4487072826    0    5.875234107    3.608932874    7
33.37683015    -0.04538843934    -0.4464751988    0    5.786063398    3.590390191    7
33.68587487    -0.04444668969    -0.444243115    0    5.696892689    3.571847508    7
33.9949196    -0.04350494004    -0.4420110311    0    5.607721979    3.553304824    7
34.30396432    -0.04256319039    -0.4397789473    0    5.51855127    3.534762141    7
34.61300905    -0.04162144074    -0.4375468635    0    5.429380561    3.516219457    7
34.92205377    -0.04070284622    -0.4353093388    0    5.340385592    3.497676774    7
35.23109849    -0.03986041089    -0.4330539183    0    5.251968651    3.47913409    7
35.54014322    -0.03901797555    -0.4307984979    0    5.163551709    3.460591407    7
35.84918794    -0.03817554021    -0.4285430774    0    5.075134767    3.442048724    7
36.15823266    -0.03733310487    -0.426287657    0    4.986717826    3.42350604    7
36.46727739    -0.03649066953    -0.4240322365    0    4.898300884    3.404963357    7
36.77632211    -0.03564823419    -0.4217768161    0    4.809883943    3.386420673    7
37.08536683    -0.03480579885    -0.4195213956    0    4.721467001    3.36787799    7
37.39441156    -0.03396336351    -0.4172659752    0    4.633050059    3.349335307    7
