helics_time,AMRwind_time,AMRWind_speed,AMRWind_direction,power_0,power_1,turbine_wd_direction_0,turbine_wd_direction_1
0.0,0,0,0,0,0,0,0
1.0,0,0,0,0,0,0,0
2.0,32400,8.0221,240.004,947652,989170,243.264,241.053
3.0,32400.5,8.02197,240.006,941855,969721,243.279,240.832
4.0,32401,8.02184,240.008,1104030.0,1440780.0,241.193,241.12
5.0,32401.5,8.0217,240.011,1092520.0,1431330.0,241.142,241.202
6.0,32402,8.02156,240.014,1080200.0,1422140.0,241.05,241.274
7.0,32402.5,8.02142,240.016,1067110.0,1412960.0,240.917,241.319
8.0,32403,8.02128,240.019,1053520.0,1403770.0,240.74,241.324
9.0,32403.5,8.02114,240.021,1039950.0,1394720.0,240.52,241.284
10.0,32404,8.021,240.024,1027090.0,1386130.0,240.26,241.197
11.0,32404.5,8.02086,240.027,1015820.0,1378500.0,239.968,241.066
12.0,32405,8.02072,240.029,1007010.0,1372090.0,239.654,240.892
13.0,32405.5,8.02058,240.032,1001580.0,1366710.0,239.33,240.676
14.0,32406,8.02044,240.034,1000230.0,1362020.0,239.012,240.417
15.0,32406.5,8.0203,240.037,1003320.0,1357780.0,238.716,240.126
16.0,32407,8.02016,240.04,1010770.0,1353820.0,238.454,239.823
17.0,32407.5,8.02003,240.042,1022110.0,1350110.0,238.237,239.542
18.0,32408,8.01989,240.045,1036460.0,1346740.0,238.071,239.315
19.0,32408.5,8.01975,240.048,1052650.0,1343840.0,237.95,239.159
20.0,32409,8.01962,240.05,1069280.0,1341640.0,237.862,239.077
21.0,32409.5,8.01948,240.053,1085460.0,1340160.0,237.795,239.057
22.0,32410,8.01935,240.055,1100580.0,1339560.0,237.735,239.075
23.0,32410.5,8.01921,240.058,1114730.0,1340120.0,237.673,239.091
24.0,32411,8.01907,240.061,1127950.0,1342190.0,237.601,239.064
25.0,32411.5,8.01893,240.063,1140280.0,1346260.0,237.517,238.963
26.0,32412,8.01879,240.066,1151830.0,1353160.0,237.421,238.768
27.0,32412.5,8.01865,240.069,1162770.0,1363570.0,237.317,238.48
28.0,32413,8.01851,240.071,1173400.0,1377680.0,237.21,238.12
29.0,32413.5,8.01837,240.074,1184260.0,1395200.0,237.109,237.719
30.0,32414,8.01823,240.076,1195950.0,1415600.0,237.018,237.321
31.0,32414.5,8.01808,240.079,1208950.0,1438500.0,236.938,236.966
32.0,32415,8.01793,240.082,1223590.0,1463560.0,236.865,236.687
33.0,32415.5,8.01779,240.084,1240000.0,1490680.0,236.792,236.508
34.0,32416,8.01764,240.087,1257830.0,1519500.0,236.713,236.433
35.0,32416.5,8.01749,240.089,1276380.0,1549220.0,236.624,236.448
36.0,32417,8.01735,240.092,1294660.0,1578790.0,236.525,236.529
37.0,32417.5,8.0172,240.095,1311730.0,1607020.0,236.423,236.647
