Timestamp,SRRL BMS Direct Normal Irradiance (W/m²_irr),SRRL BMS Diffuse Horizontal Irradiance (W/m²_irr),SRRL BMS Global Horizontal Irradiance (W/m²_irr),SRRL BMS Dry Bulb Temperature (°C),SRRL BMS Wind Speed at 19' (m/s)
2020-04-14 19:32:00+00:00,23.79085,453.2448,492.05756,8.999994,3.061
2020-04-14 19:33:00+00:00,31.29586,468.2133,517.16986,9.020014,2.822
2020-04-14 19:34:00+00:00,556.0283,489.5752,1056.9946,9.170008,2.247
2020-04-14 19:35:00+00:00,284.8737,505.6378,781.40936,9.399988,1.911
2020-04-14 19:36:00+00:00,225.6047,511.1434,753.0505,9.779993,1.316
2020-04-14 19:37:00+00:00,404.0361,512.2932,910.8295,9.7199955,1.968
2020-04-14 19:38:00+00:00,493.3124,504.8319,988.7115,9.999994,1.968
2020-04-14 19:39:00+00:00,315.4609,487.3932,805.0226,10.529993,1.62
2020-04-14 19:40:00+00:00,715.5775,478.5378,974.9831,10.649988,2.047
2020-04-14 19:41:00+00:00,719.6987,463.1164,1144.9436,10.689997,3.647
2020-04-14 19:42:00+00:00,718.636,460.4002,1140.2902,11.309992,5.181
2020-04-14 19:43:00+00:00,751.5579,456.9809,963.20264,11.170008,3.765
2020-04-14 19:44:00+00:00,731.3303,448.5871,786.1151,10.670008,3.314
2020-04-14 19:45:00+00:00,161.9485,431.6386,609.0276,10.649988,3.458
2020-04-14 19:46:00+00:00,151.1685,414.5621,581.6906,10.330011,2.595
2020-04-14 19:47:00+00:00,550.0958,405.7605,977.40027,10.149988,1.248
2020-04-14 19:48:00+00:00,757.0789,393.7845,1105.837,10.089991,0.949
2020-04-14 19:49:00+00:00,753.1917,381.4185,1079.9891,10.2000065,1.733
2020-04-14 19:50:00+00:00,760.156,371.2977,1076.3798,10.140009,0.802
2020-04-14 19:51:00+00:00,772.2516,366.3504,1080.8224,10.159998,1.459
2020-04-14 19:52:00+00:00,770.3719,367.0703,1077.713,10.020014,2.61
2020-04-14 19:53:00+00:00,767.0942,371.0226,1078.0948,10.230005,3.139
2020-04-14 19:54:00+00:00,766.7153,379.701,1086.1365,10.119989,2.767
2020-04-14 19:55:00+00:00,769.8279,389.6987,1096.3475,10.379999,3.177
2020-04-14 19:56:00+00:00,772.2502,396.3075,1101.9213,10.869989,2.785
2020-04-14 19:57:00+00:00,759.7171,398.4122,1091.4944,11.059992,3.567
2020-04-14 19:58:00+00:00,754.3956,402.0485,1090.2787,10.959986,3.84
2020-04-14 19:59:00+00:00,756.7652,408.163,1099.9198,10.9500065,4.144
2020-04-14 20:00:00+00:00,752.9366,413.3112,1099.6361,10.61001,3.392
2020-04-14 20:01:00+00:00,752.647,412.588,1094.3586,10.7000065,3.283
2020-04-14 20:02:00+00:00,759.8518,406.5836,1090.8391,11.020014,2.914
2020-04-14 20:03:00+00:00,737.6186,396.9049,1059.4537,11.309992,2.608
2020-04-14 20:04:00+00:00,744.8304,386.9638,1054.6609,11.550013,3.721
2020-04-14 20:05:00+00:00,764.6475,379.5538,1062.2173,11.550013,4.67
2020-04-14 20:06:00+00:00,669.9843,379.8499,979.69727,11.270014,4.248
2020-04-14 20:07:00+00:00,404.8614,380.4341,771.42816,11.040003,3.294
2020-04-14 20:08:00+00:00,237.1325,383.3422,607.53143,10.830011,4.129
2020-04-14 20:09:00+00:00,298.4471,378.18,665.41174,10.7000065,3.964
2020-04-14 20:10:00+00:00,475.8697,368.2862,780.83673,10.540003,3.789
2020-04-14 20:11:00+00:00,3.110168,347.7919,353.10013,10.080011,3.469
2020-04-14 20:12:00+00:00,1.530876,329.5338,332.1808,9.629999,2.829
2020-04-14 20:13:00+00:00,0.228976,314.3583,317.37927,9.339991,2.641
2020-04-14 20:14:00+00:00,0.09813156,304.429,307.59286,9.149988,2.584
2020-04-14 20:15:00+00:00,0.0,295.9312,297.0379,9.020014,1.388
2020-04-14 20:16:00+00:00,0.0,284.4413,284.38797,9.020014,1.846
2020-04-14 20:17:00+00:00,0.0,275.9347,277.01288,9.2199955,3.027
2020-04-14 20:18:00+00:00,0.0,274.4466,276.32068,9.339991,3.951
2020-04-14 20:19:00+00:00,0.0,279.6774,282.43753,9.249994,3.192
2020-04-14 20:20:00+00:00,0.0,290.1987,292.93286,9.129999,2.399
2020-04-14 20:21:00+00:00,0.0,300.301,302.69662,9.020014,1.527
2020-04-14 20:22:00+00:00,0.0,309.4736,312.50568,9.1,1.72
2020-04-14 20:23:00+00:00,0.0,318.6192,323.05933,9.059992,1.369
2020-04-14 20:24:00+00:00,1.697022,325.505,330.20474,9.119989,1.181
2020-04-14 20:25:00+00:00,0.5462674,332.609,338.56543,9.1,2.05
2020-04-14 20:26:00+00:00,3.310966,335.0658,343.5874,9.209986,1.849
2020-04-14 20:27:00+00:00,13.34789,327.4102,342.26346,9.429987,3.125
